[52133.0, 131.769, 2.0, 1.0, 0.0, 4.0]
[3324.0, 24.0, 0.0, 0.0, 6.0, 0.0]
[372000.0, 60000.0, 1856000.0, 30000.0, 0.0, 0.0]
[5.5, -1.0, 0.0, 0.0, 18.0, 3.0]
[1.0, 0.0, 3288770.0, 5897.0, 0.729318, 0.03]
[1.0, 1.0, 1654620.0, 5897.0, 0.0906824, 0.03]
[3.0, 0.0, 334270.0, 40.0, 0.18, 0.03]
[0.0, 0.0, 0.0, 0.0, 6.0, 217.0]
[0.01, 0.0, 1856000.0, 30000.0, 0.0, 0.0]
[18090.0, 0.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.5528, 0.11056, '', '']
[20860.0, 10.0, 0.0, 0.0, 8.0, 0.0]
[1.0, 0.0, 0.403544, 0.022112, 0.0, 0.0]
[2.6, 0.08, '', '', '', '']
[39900.0, 100.0, 0.0, 0.0, 12.0, 0.0]
[1.0, 0.0, 0.292984, 0.022112, 0.0, 0.0]
[32.0, 21.0, 0.6, 0.5, 1.0, 0.8]
[47470.0, 10.0, 0.0, 0.0, 12.0, 0.0]
[1.0, 0.0, 0.22112, 0.016584, 0.0, 0.0]
[17.0, 11.0, 0.4, 0.3, 0.4, 0.4]
[50000.0, 200.0, 0.0, 0.0, 12.0, 0.0]
[1.0, 0.0, 0.08292, 0.060808, 0.0, 0.0]
[14.0, 9.0, 0.4, 0.4, 0.3, 0.3]
[52500.0, 300.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.016584, 0.011056, '', '']
[74050.0, 10.0, 0.0, 0.0, 10.0, 0.0]
[1.0, 0.0, 0.375904, 0.02764, 0.0, 0.0]
[24.0, 0.8, 19.0, 3.0, '', '']
[81610.0, 10.0, 0.0, 0.0, 10.0, 0.0]
[1.0, 0.0, 0.320624, 0.016584, 0.0, 0.0]
[1.8, 0.5, 1.3, 0.3, '', '']
[86850.0, 20.0, 0.0, 0.0, 12.0, 0.0]
[1.0, 0.0, 0.044224, 0.005528, 0.0, 0.0]
[2.93, 0.09, 1.9, 0.4, 0.8, 0.4]
[88064.0, 3.0, 0.0, 0.0, 10.0, 0.0]
[1.0, 0.0, 1.32672, 0.05528, 0.0, 0.0]
[1.4, 0.5, 1.13, 0.18, '', '']
[92330.0, 30.0, 0.0, 0.0, 8.0, 0.0]
[1.0, 0.0, 0.199008, 0.044224, 0.0, 0.0]
[1.3, 1.0, '', '', '', '']
[94989.0, 2.0, 0.0, 0.0, 10.0, 0.0]
[1.0, 0.0, 2.87456, 0.05528, 0.0, 0.0]
[2.13, 0.07, 1.25, 0.16, '', '']
[97800.0, 100.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.132672, 0.022112, '', '']
[110230.0, 70.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.08292, 0.022112, '', '']
[112260.0, 150.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.105032, 0.044224, '', '']
[116440.0, 90.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.2764, 0.11056, '', '']
[119580.0, 150.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[136640.0, 50.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.154784, 0.044224, '', '']
[150800.0, 20.0, 0.0, 0.0, 12.0, 0.0]
[1.0, 0.0, 0.33168, 0.11056, 0.0, 0.0]
[0.33, 0.09, 0.26, 0.06, 0.05, 0.03]
[150800.0, 20.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.66336, 0.05528, '', '']
[157600.0, 100.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.02764, '', '']
[164400.0, 10.0, 0.0, 0.0, 12.0, 0.0]
[1.0, 0.0, 0.9674, 0.049752, 0.0, 0.0]
[0.25, 0.06, 0.2, 0.04, 0.038, 0.017]
[169025.0, 5.0, 0.0, 0.0, 12.0, 0.0]
[1.0, 0.0, 5.2516, 0.11056, 0.0, 0.0]
[0.0471, 0.0015, 0.0407, 0.002, 0.00515, 0.0]
[176900.0, 500.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.22112, 0.11056, '', '']
[177200.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.22112, 0.05528, '', '']
[178000.0, 200.0, 0.0, 0.0, 4.0, 0.0]
